iter	Passed	Remaining
0	1	103
1	1	96
2	2	86
3	3	77
4	3	75
5	4	73
6	5	72
7	6	72
8	7	71
9	7	71
10	8	70
11	9	70
12	11	78
13	12	78
14	14	79
15	15	79
16	16	79
17	17	80
18	18	79
19	19	78
20	20	76
21	21	75
22	21	73
23	22	71
24	23	70
25	24	68
26	25	67
27	26	67
28	27	66
29	27	65
30	28	63
31	29	62
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	37	48
44	38	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	57	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
